	('seedingDensity 0',)	('meanTotalCellCountBeforeTreatment 1',)	('meanTotalCellCountAfterTreatment 2',)	('meanTotalControlCellCount 3',)	('meanRelativeCellCount 4',)	('meanNormalizedGrowthRateInhibitionValue 5',)
('Etoposide 4133', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	1250.0	996.8333	9061.3333	10901.4167	0.83114	0.89559
('Etoposide 4134', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	1250.0	996.8333	7532.3333	10901.4167	0.69085	0.79658
('Etoposide 4135', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	1250.0	996.8333	2731.6667	10901.4167	0.25066	0.33904
('Etoposide 4136', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	1250.0	996.8333	1440.0	10901.4167	0.13203	0.11193
('Etoposide 4137', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	1250.0	996.8333	936.6667	10901.4167	0.085934	-0.017879
('Etoposide 4138', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	1250.0	996.8333	906.0	10901.4167	0.083133	-0.027397
('Etoposide 4139', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 5')	1250.0	996.8333	927.0	10901.4167	0.085005	-0.021262
('Nilotinib 4140', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	1250.0	996.8333	11253.3333	10901.4167	1.0323	1.0185
('Nilotinib 4141', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	1250.0	996.8333	11239.6667	10901.4167	1.0312	1.0174
('Nilotinib 4142', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	1250.0	996.8333	11242.6667	10901.4167	1.0315	1.018
('Nilotinib 4143', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	1250.0	996.8333	10907.6667	10901.4167	1.0004	1.0001
('Nilotinib 4144', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	1250.0	996.8333	11187.3333	10901.4167	1.0265	1.0151
('Nilotinib 4145', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	1250.0	996.8333	11166.0	10901.4167	1.0244	1.014
('Nilotinib 4146', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	1250.0	996.8333	10750.0	10901.4167	0.98617	0.99195
('Nilotinib 4147', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	1250.0	996.8333	6470.3333	10901.4167	0.59248	0.71104
('Nilotinib 4148', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 5')	1250.0	996.8333	2223.3333	10901.4167	0.20285	0.20475
('PLX-4720 4149', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	1250.0	996.8333	11297.6667	10901.4167	1.0364	1.0208
('PLX-4720 4150', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	1250.0	996.8333	11017.0	10901.4167	1.0104	1.0058
('PLX-4720 4151', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	1250.0	996.8333	11172.6667	10901.4167	1.0251	1.0143
('PLX-4720 4152', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	1250.0	996.8333	11214.6667	10901.4167	1.0288	1.0165
('PLX-4720 4153', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	1250.0	996.8333	11359.3333	10901.4167	1.0419	1.0239
('PLX-4720 4154', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	1250.0	996.8333	11640.0	10901.4167	1.0678	1.0383
('PLX-4720 4155', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	1250.0	996.8333	11468.6667	10901.4167	1.0522	1.0297
('PLX-4720 4156', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	1250.0	996.8333	10663.3333	10901.4167	0.97805	0.98711
('PLX-4720 4157', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 5')	1250.0	996.8333	7461.0	10901.4167	0.68398	0.79058
('NVP-TAE684 4158', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 5')	1250.0	996.8333	10866.0	10901.4167	0.99665	0.99791
('NVP-TAE684 4159', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	1250.0	996.8333	11177.0	10901.4167	1.0254	1.0146
('NVP-TAE684 4160', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	1250.0	996.8333	11159.0	10901.4167	1.0239	1.0136
('NVP-TAE684 4161', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	1250.0	996.8333	10345.0	10901.4167	0.94894	0.96978
('NVP-TAE684 4162', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	1250.0	996.8333	9455.3333	10901.4167	0.86731	0.91915
('NVP-TAE684 4163', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	1250.0	996.8333	8080.0	10901.4167	0.74119	0.83374
('NVP-TAE684 4164', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	1250.0	996.8333	5308.3333	10901.4167	0.48689	0.62343
('NVP-TAE684 4165', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	1250.0	996.8333	2902.0	10901.4167	0.26641	0.36213
('NVP-TAE684 4166', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	1250.0	996.8333	1024.0	10901.4167	0.093983	0.007527
('Palbociclib 4167', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	1250.0	996.8333	10813.6667	11121.5	0.97176	0.98329
('Palbociclib 4168', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	1250.0	996.8333	10837.6667	11121.5	0.97457	0.98509
('Palbociclib 4169', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	1250.0	996.8333	9398.6667	11121.5	0.84572	0.90581
('Palbociclib 4170', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	1250.0	996.8333	8102.0	11121.5	0.72774	0.82452
('Palbociclib 4171', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	1250.0	996.8333	5757.3333	11121.5	0.51773	0.65515
('Palbociclib 4172', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	1250.0	996.8333	3855.0	11121.5	0.34638	0.47412
('Palbociclib 4173', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	1250.0	996.8333	2808.0	11121.5	0.25221	0.34437
('Palbociclib 4174', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	1250.0	996.8333	2148.6667	11121.5	0.19325	0.24562
('Palbociclib 4175', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 5')	1250.0	996.8333	1560.3333	11121.5	0.13983	0.13263
('GSK2126458 4176', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 5')	2500.0	2253.875	9782.6667	10580.5833	0.92472	0.93107
('GSK2126458 4177', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	2500.0	2253.875	9564.0	10580.5833	0.90431	0.91165
('GSK2126458 4178', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	2500.0	2253.875	7567.0	10580.5833	0.71504	0.72029
('GSK2126458 4179', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	2500.0	2253.875	4198.0	10580.5833	0.39667	0.32116
('GSK2126458 4180', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	2500.0	2253.875	3187.6667	10580.5833	0.3014	0.16804
('GSK2126458 4181', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	2500.0	2253.875	2836.3333	10580.5833	0.26805	0.10842
('GSK2126458 4182', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	2500.0	2253.875	2668.6667	10580.5833	0.25214	0.078021
('GSK2126458 4183', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	2500.0	2253.875	2347.0	10580.5833	0.22165	0.017198
('GSK2126458 4184', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	2500.0	2253.875	1678.0	10580.5833	0.15857	-0.12405
('Methotrexate 4185', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 5')	2500.0	2253.875	10229.3333	10580.5833	0.96658	0.96949
('Methotrexate 4186', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	2500.0	2253.875	10530.6667	10580.5833	0.99568	0.99578
('Methotrexate 4187', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	2500.0	2253.875	10371.0	10580.5833	0.98032	0.98219
('Methotrexate 4188', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	2500.0	2253.875	10132.3333	10580.5833	0.95718	0.9605
('Methotrexate 4189', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	2500.0	2253.875	3552.3333	10580.5833	0.33571	0.22605
('Methotrexate 4190', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	2500.0	2253.875	3030.3333	10580.5833	0.28631	0.14119
('Methotrexate 4191', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	2500.0	2253.875	2759.6667	10580.5833	0.26077	0.094702
('Methotrexate 4192', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	2500.0	2253.875	2774.0	10580.5833	0.26222	0.097475
('Methotrexate 4193', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	2500.0	2253.875	2732.3333	10580.5833	0.25824	0.089898
('Taxol 4194', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.00016596', 'replicate: 5')	2500.0	2253.875	10828.6667	10580.5833	1.0236	1.0211
('Taxol 4195', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.00033113', 'replicate: 5')	2500.0	2253.875	10213.6667	10580.5833	0.96543	0.96861
('Taxol 4196', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.001', 'replicate: 5')	2500.0	2253.875	10224.3333	10580.5833	0.96651	0.96972
('Taxol 4197', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0031623', 'replicate: 5')	2500.0	2253.875	7499.0	10580.5833	0.70872	0.71387
('Taxol 4198', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	2500.0	2253.875	2363.3333	10580.5833	0.22377	0.019666
('Taxol 4199', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	2500.0	2253.875	1432.6667	10580.5833	0.1353	-0.18506
('Taxol 4200', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	2500.0	2253.875	1177.6667	10580.5833	0.11136	-0.25311
('Taxol 4201', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	2500.0	2253.875	1119.6667	10580.5833	0.10574	-0.26992
('Taxol 4202', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	2500.0	2253.875	1112.3333	10580.5833	0.10518	-0.27139
('Etoposide 4203', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	2500.0	2253.875	10316.0	10295.9167	1.0017	1.0011
('Etoposide 4204', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	2500.0	2253.875	10098.6667	10295.9167	0.98102	0.98254
('Etoposide 4205', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	2500.0	2253.875	8784.3333	10295.9167	0.8531	0.86003
('Etoposide 4206', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	2500.0	2253.875	7876.6667	10295.9167	0.76492	0.76958
('Etoposide 4207', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	2500.0	2253.875	3498.6667	10295.9167	0.33975	0.22181
('Etoposide 4208', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	2500.0	2253.875	2064.6667	10295.9167	0.20051	-0.03934
('Etoposide 4209', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	2500.0	2253.875	1737.6667	10295.9167	0.1688	-0.11192
('Etoposide 4210', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	2500.0	2253.875	1814.0	10295.9167	0.1761	-0.095131
('Etoposide 4211', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 5')	2500.0	2253.875	1887.6667	10295.9167	0.18329	-0.078454
('Nilotinib 4212', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	2500.0	2253.875	10594.0	10295.9167	1.029	1.0262
('Nilotinib 4213', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	2500.0	2253.875	10836.6667	10295.9167	1.0528	1.0473
('Nilotinib 4214', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	2500.0	2253.875	10842.0	10295.9167	1.0532	1.0478
('Nilotinib 4215', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	2500.0	2253.875	10564.3333	10295.9167	1.0259	1.0233
('Nilotinib 4216', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	2500.0	2253.875	10648.0	10295.9167	1.0341	1.0308
('Nilotinib 4217', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	2500.0	2253.875	10994.3333	10295.9167	1.0678	1.0607
('Nilotinib 4218', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	2500.0	2253.875	10406.0	10295.9167	1.0106	1.0095
('Nilotinib 4219', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	2500.0	2253.875	8141.0	10295.9167	0.78961	0.78659
('Nilotinib 4220', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 5')	2500.0	2253.875	2903.0	10295.9167	0.28116	0.085903
('PLX-4720 4221', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	2500.0	2253.875	10612.6667	10295.9167	1.0308	1.0279
('PLX-4720 4222', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	2500.0	2253.875	10594.3333	10295.9167	1.029	1.0263
('PLX-4720 4223', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	2500.0	2253.875	10457.0	10295.9167	1.0158	1.0141
('PLX-4720 4224', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	2500.0	2253.875	10914.0	10295.9167	1.0604	1.054
('PLX-4720 4225', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	2500.0	2253.875	10991.0	10295.9167	1.0676	1.0604
('PLX-4720 4226', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	2500.0	2253.875	11046.0	10295.9167	1.0731	1.0653
('PLX-4720 4227', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	2500.0	2253.875	11835.0	10295.9167	1.1497	1.1312
('PLX-4720 4228', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	2500.0	2253.875	11770.6667	10295.9167	1.1431	1.1255
('PLX-4720 4229', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 5')	2500.0	2253.875	10148.6667	10295.9167	0.98518	0.98484
('NVP-TAE684 4230', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 5')	2500.0	2253.875	10179.0	10295.9167	0.9888	0.98949
('NVP-TAE684 4231', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	2500.0	2253.875	10586.0	10295.9167	1.0283	1.0256
('NVP-TAE684 4232', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	2500.0	2253.875	10339.3333	10295.9167	1.0044	1.004
('NVP-TAE684 4233', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	2500.0	2253.875	9707.0	10295.9167	0.94283	0.947
('NVP-TAE684 4234', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	2500.0	2253.875	8780.0	10295.9167	0.85271	0.85965
